,classe,annee,Code.région,faits
415,Coups et blessures volontaires intrafamiliaux,23,2,1712
416,Coups et blessures volontaires intrafamiliaux,23,3,1327
417,Coups et blessures volontaires intrafamiliaux,23,4,4087
418,Coups et blessures volontaires intrafamiliaux,23,6,530
419,Coups et blessures volontaires intrafamiliaux,23,11,37223
420,Coups et blessures volontaires intrafamiliaux,23,24,6904
421,Coups et blessures volontaires intrafamiliaux,23,27,7178
422,Coups et blessures volontaires intrafamiliaux,23,28,9527
423,Coups et blessures volontaires intrafamiliaux,23,32,23052
424,Coups et blessures volontaires intrafamiliaux,23,44,15637
425,Coups et blessures volontaires intrafamiliaux,23,52,8535
426,Coups et blessures volontaires intrafamiliaux,23,53,7766
427,Coups et blessures volontaires intrafamiliaux,23,75,15161
428,Coups et blessures volontaires intrafamiliaux,23,76,15530
429,Coups et blessures volontaires intrafamiliaux,23,84,19449
430,Coups et blessures volontaires intrafamiliaux,23,93,15501
431,Coups et blessures volontaires intrafamiliaux,23,94,844
432,Autres coups et blessures volontaires,16,1,1555
433,Autres coups et blessures volontaires,16,2,1296
434,Autres coups et blessures volontaires,16,3,1256
435,Autres coups et blessures volontaires,16,4,2184
436,Autres coups et blessures volontaires,16,6,1114
437,Autres coups et blessures volontaires,16,11,24760
438,Autres coups et blessures volontaires,16,24,3589
439,Autres coups et blessures volontaires,16,27,4561
440,Autres coups et blessures volontaires,16,28,5081
441,Autres coups et blessures volontaires,16,32,12584
442,Autres coups et blessures volontaires,16,44,9625
443,Autres coups et blessures volontaires,16,52,4853
444,Autres coups et blessures volontaires,16,53,4122
445,Autres coups et blessures volontaires,16,75,8238
446,Autres coups et blessures volontaires,16,76,10204
447,Autres coups et blessures volontaires,16,84,13006
448,Autres coups et blessures volontaires,16,93,11078
449,Autres coups et blessures volontaires,16,94,553
450,Autres coups et blessures volontaires,17,1,1476
451,Autres coups et blessures volontaires,17,2,1345
452,Autres coups et blessures volontaires,17,3,1307
453,Autres coups et blessures volontaires,17,4,2331
454,Autres coups et blessures volontaires,17,6,1129
455,Autres coups et blessures volontaires,17,11,25639
456,Autres coups et blessures volontaires,17,24,3917
457,Autres coups et blessures volontaires,17,27,4770
458,Autres coups et blessures volontaires,17,28,5220
459,Autres coups et blessures volontaires,17,32,12693
460,Autres coups et blessures volontaires,17,44,10018
461,Autres coups et blessures volontaires,17,52,5405
462,Autres coups et blessures volontaires,17,53,4665
463,Autres coups et blessures volontaires,17,75,8779
464,Autres coups et blessures volontaires,17,76,10828
465,Autres coups et blessures volontaires,17,84,13390
466,Autres coups et blessures volontaires,17,93,10898
467,Autres coups et blessures volontaires,17,94,563
468,Autres coups et blessures volontaires,18,1,1486
469,Autres coups et blessures volontaires,18,2,1261
470,Autres coups et blessures volontaires,18,3,1314
471,Autres coups et blessures volontaires,18,4,2415
472,Autres coups et blessures volontaires,18,6,1069
473,Autres coups et blessures volontaires,18,11,26508
474,Autres coups et blessures volontaires,18,24,4212
475,Autres coups et blessures volontaires,18,27,4973
476,Autres coups et blessures volontaires,18,28,5789
477,Autres coups et blessures volontaires,18,32,13374
478,Autres coups et blessures volontaires,18,44,10174
479,Autres coups et blessures volontaires,18,52,5595
480,Autres coups et blessures volontaires,18,53,4748
481,Autres coups et blessures volontaires,18,75,9295
482,Autres coups et blessures volontaires,18,76,11415
483,Autres coups et blessures volontaires,18,84,14432
484,Autres coups et blessures volontaires,18,93,12075
485,Autres coups et blessures volontaires,18,94,581
486,Autres coups et blessures volontaires,19,1,1550
487,Autres coups et blessures volontaires,19,2,1248
488,Autres coups et blessures volontaires,19,3,1339
489,Autres coups et blessures volontaires,19,4,2132
490,Autres coups et blessures volontaires,19,6,1200
491,Autres coups et blessures volontaires,19,11,26312
492,Autres coups et blessures volontaires,19,24,4079
493,Autres coups et blessures volontaires,19,27,4670
494,Autres coups et blessures volontaires,19,28,5762
495,Autres coups et blessures volontaires,19,32,13131
496,Autres coups et blessures volontaires,19,44,10185
497,Autres coups et blessures volontaires,19,52,5790
498,Autres coups et blessures volontaires,19,53,5056
499,Autres coups et blessures volontaires,19,75,9756
500,Autres coups et blessures volontaires,19,76,11795
501,Autres coups et blessures volontaires,19,84,14737
502,Autres coups et blessures volontaires,19,93,12120
503,Autres coups et blessures volontaires,19,94,594
504,Autres coups et blessures volontaires,20,1,1503
505,Autres coups et blessures volontaires,20,2,1184
506,Autres coups et blessures volontaires,20,3,1326
507,Autres coups et blessures volontaires,20,4,2120
508,Autres coups et blessures volontaires,20,6,1106
509,Autres coups et blessures volontaires,20,11,23467
510,Autres coups et blessures volontaires,20,24,3816
511,Autres coups et blessures volontaires,20,27,4416
512,Autres coups et blessures volontaires,20,28,4937
513,Autres coups et blessures volontaires,20,32,11698
514,Autres coups et blessures volontaires,20,44,8997
515,Autres coups et blessures volontaires,20,52,5283
516,Autres coups et blessures volontaires,20,53,4757
517,Autres coups et blessures volontaires,20,75,9012
518,Autres coups et blessures volontaires,20,76,10922
519,Autres coups et blessures volontaires,20,84,13391
520,Autres coups et blessures volontaires,20,93,11243
521,Autres coups et blessures volontaires,20,94,597
522,Autres coups et blessures volontaires,21,1,1514
523,Autres coups et blessures volontaires,21,2,1316
524,Autres coups et blessures volontaires,21,3,1501
525,Autres coups et blessures volontaires,21,4,2174
526,Autres coups et blessures volontaires,21,6,1167
527,Autres coups et blessures volontaires,21,11,24914
528,Autres coups et blessures volontaires,21,24,3897
529,Autres coups et blessures volontaires,21,27,4634
530,Autres coups et blessures volontaires,21,28,5557
531,Autres coups et blessures volontaires,21,32,12695
532,Autres coups et blessures volontaires,21,44,9840
533,Autres coups et blessures volontaires,21,52,5451
534,Autres coups et blessures volontaires,21,53,4635
535,Autres coups et blessures volontaires,21,75,9366
536,Autres coups et blessures volontaires,21,76,11284
537,Autres coups et blessures volontaires,21,84,14838
538,Autres coups et blessures volontaires,21,93,12040
539,Autres coups et blessures volontaires,21,94,590
540,Autres coups et blessures volontaires,22,1,1486
541,Autres coups et blessures volontaires,22,2,1303
542,Autres coups et blessures volontaires,22,3,1449
543,Autres coups et blessures volontaires,22,4,2185
544,Autres coups et blessures volontaires,22,6,1261
545,Autres coups et blessures volontaires,22,11,28619
546,Autres coups et blessures volontaires,22,24,4410
547,Autres coups et blessures volontaires,22,27,5204
548,Autres coups et blessures volontaires,22,28,6181
549,Autres coups et blessures volontaires,22,32,13707
550,Autres coups et blessures volontaires,22,44,11121
551,Autres coups et blessures volontaires,22,52,6362
552,Autres coups et blessures volontaires,22,53,5542
553,Autres coups et blessures volontaires,22,75,11184
554,Autres coups et blessures volontaires,22,76,12968
555,Autres coups et blessures volontaires,22,84,16464
556,Autres coups et blessures volontaires,22,93,12931
557,Autres coups et blessures volontaires,22,94,623
558,Autres coups et blessures volontaires,23,1,1562
559,Autres coups et blessures volontaires,23,2,1284
560,Autres coups et blessures volontaires,23,3,1312
561,Autres coups et blessures volontaires,23,4,2474
562,Autres coups et blessures volontaires,23,6,1357
563,Autres coups et blessures volontaires,23,11,28230
564,Autres coups et blessures volontaires,23,24,4421
565,Autres coups et blessures volontaires,23,27,5315
566,Autres coups et blessures volontaires,23,28,6486
567,Autres coups et blessures volontaires,23,32,13791
568,Autres coups et blessures volontaires,23,44,11378
569,Autres coups et blessures volontaires,23,52,5978
570,Autres coups et blessures volontaires,23,53,5490
571,Autres coups et blessures volontaires,23,75,11233
572,Autres coups et blessures volontaires,23,76,13154
573,Autres coups et blessures volontaires,23,84,16291
574,Autres coups et blessures volontaires,23,93,12787
575,Autres coups et blessures volontaires,23,94,668
576,Violences sexuelles,16,1,352
577,Violences sexuelles,16,2,328
578,Violences sexuelles,16,3,366
579,Violences sexuelles,16,4,956
580,Violences sexuelles,16,6,280
581,Violences sexuelles,16,11,9956
582,Violences sexuelles,16,24,2121
583,Violences sexuelles,16,27,2109
584,Violences sexuelles,16,28,2811
585,Violences sexuelles,16,32,5701
586,Violences sexuelles,16,44,4023
587,Violences sexuelles,16,52,3006
588,Violences sexuelles,16,53,2266
589,Violences sexuelles,16,75,4492
590,Violences sexuelles,16,76,4048
591,Violences sexuelles,16,84,5332
592,Violences sexuelles,16,93,3581
593,Violences sexuelles,16,94,182
594,Violences sexuelles,17,1,397
595,Violences sexuelles,17,2,380
596,Violences sexuelles,17,3,405
597,Violences sexuelles,17,4,1098
598,Violences sexuelles,17,6,219
599,Violences sexuelles,17,11,10608
600,Violences sexuelles,17,24,2216
601,Violences sexuelles,17,27,2461
602,Violences sexuelles,17,28,3125
603,Violences sexuelles,17,32,6113
604,Violences sexuelles,17,44,4539
605,Violences sexuelles,17,52,3389
606,Violences sexuelles,17,53,2457
607,Violences sexuelles,17,75,4955
608,Violences sexuelles,17,76,4662
609,Violences sexuelles,17,84,5816
610,Violences sexuelles,17,93,3948
611,Violences sexuelles,17,94,210
612,Violences sexuelles,18,1,413
613,Violences sexuelles,18,2,432
614,Violences sexuelles,18,3,447
615,Violences sexuelles,18,4,1133
616,Violences sexuelles,18,6,302
617,Violences sexuelles,18,11,13137
618,Violences sexuelles,18,24,2620
619,Violences sexuelles,18,27,2814
620,Violences sexuelles,18,28,3628
621,Violences sexuelles,18,32,7280
622,Violences sexuelles,18,44,5257
623,Violences sexuelles,18,52,4031
624,Violences sexuelles,18,53,3029
625,Violences sexuelles,18,75,5646
626,Violences sexuelles,18,76,5492
627,Violences sexuelles,18,84,7006
628,Violences sexuelles,18,93,4572
629,Violences sexuelles,18,94,233
630,Violences sexuelles,19,1,453
631,Violences sexuelles,19,2,497
632,Violences sexuelles,19,3,603
633,Violences sexuelles,19,4,1317
634,Violences sexuelles,19,6,353
635,Violences sexuelles,19,11,13988
636,Violences sexuelles,19,24,3027
637,Violences sexuelles,19,27,3058
638,Violences sexuelles,19,28,4084
639,Violences sexuelles,19,32,8353
640,Violences sexuelles,19,44,5846
641,Violences sexuelles,19,52,4546
642,Violences sexuelles,19,53,3466
643,Violences sexuelles,19,75,6486
644,Violences sexuelles,19,76,6012
645,Violences sexuelles,19,84,8015
646,Violences sexuelles,19,93,4927
647,Violences sexuelles,19,94,297
648,Violences sexuelles,20,1,472
649,Violences sexuelles,20,2,553
650,Violences sexuelles,20,3,547
651,Violences sexuelles,20,4,1310
652,Violences sexuelles,20,6,329
653,Violences sexuelles,20,11,13482
654,Violences sexuelles,20,24,3018
655,Violences sexuelles,20,27,3232
656,Violences sexuelles,20,28,4213
657,Violences sexuelles,20,32,8008
658,Violences sexuelles,20,44,6272
659,Violences sexuelles,20,52,4667
660,Violences sexuelles,20,53,3848
661,Violences sexuelles,20,75,7189
662,Violences sexuelles,20,76,6433
663,Violences sexuelles,20,84,8281
664,Violences sexuelles,20,93,4930
665,Violences sexuelles,20,94,294
