,classe,annee,Code.région,faits
1790,Destructions et dégradations volontaires,19,28,27235
1791,Destructions et dégradations volontaires,19,32,62922
1792,Destructions et dégradations volontaires,19,44,46454
1793,Destructions et dégradations volontaires,19,52,31056
1794,Destructions et dégradations volontaires,19,53,24954
1795,Destructions et dégradations volontaires,19,75,51132
1796,Destructions et dégradations volontaires,19,76,53081
1797,Destructions et dégradations volontaires,19,84,71523
1798,Destructions et dégradations volontaires,19,93,55258
1799,Destructions et dégradations volontaires,19,94,3420
1800,Destructions et dégradations volontaires,20,1,2626
1801,Destructions et dégradations volontaires,20,2,2226
1802,Destructions et dégradations volontaires,20,3,1279
1803,Destructions et dégradations volontaires,20,4,4052
1804,Destructions et dégradations volontaires,20,6,1758
1805,Destructions et dégradations volontaires,20,11,105173
1806,Destructions et dégradations volontaires,20,24,16140
1807,Destructions et dégradations volontaires,20,27,19094
1808,Destructions et dégradations volontaires,20,28,22275
1809,Destructions et dégradations volontaires,20,32,53220
1810,Destructions et dégradations volontaires,20,44,40012
1811,Destructions et dégradations volontaires,20,52,26170
1812,Destructions et dégradations volontaires,20,53,21807
1813,Destructions et dégradations volontaires,20,75,43891
1814,Destructions et dégradations volontaires,20,76,45063
1815,Destructions et dégradations volontaires,20,84,62671
1816,Destructions et dégradations volontaires,20,93,48189
1817,Destructions et dégradations volontaires,20,94,2847
1818,Destructions et dégradations volontaires,21,1,2922
1819,Destructions et dégradations volontaires,21,2,2260
1820,Destructions et dégradations volontaires,21,3,1494
1821,Destructions et dégradations volontaires,21,4,4487
1822,Destructions et dégradations volontaires,21,6,1721
1823,Destructions et dégradations volontaires,21,11,104333
1824,Destructions et dégradations volontaires,21,24,16888
1825,Destructions et dégradations volontaires,21,27,19254
1826,Destructions et dégradations volontaires,21,28,22730
1827,Destructions et dégradations volontaires,21,32,52863
1828,Destructions et dégradations volontaires,21,44,40416
1829,Destructions et dégradations volontaires,21,52,27252
1830,Destructions et dégradations volontaires,21,53,22671
1831,Destructions et dégradations volontaires,21,75,46256
1832,Destructions et dégradations volontaires,21,76,45634
1833,Destructions et dégradations volontaires,21,84,64998
1834,Destructions et dégradations volontaires,21,93,51628
1835,Destructions et dégradations volontaires,21,94,3202
1836,Destructions et dégradations volontaires,22,1,2770
1837,Destructions et dégradations volontaires,22,2,2124
1838,Destructions et dégradations volontaires,22,3,1428
1839,Destructions et dégradations volontaires,22,4,4930
1840,Destructions et dégradations volontaires,22,6,2040
1841,Destructions et dégradations volontaires,22,11,105088
1842,Destructions et dégradations volontaires,22,24,17464
1843,Destructions et dégradations volontaires,22,27,19638
1844,Destructions et dégradations volontaires,22,28,24295
1845,Destructions et dégradations volontaires,22,32,52865
1846,Destructions et dégradations volontaires,22,44,41091
1847,Destructions et dégradations volontaires,22,52,26666
1848,Destructions et dégradations volontaires,22,53,23945
1849,Destructions et dégradations volontaires,22,75,45810
1850,Destructions et dégradations volontaires,22,76,47985
1851,Destructions et dégradations volontaires,22,84,64837
1852,Destructions et dégradations volontaires,22,93,51126
1853,Destructions et dégradations volontaires,22,94,3394
1854,Destructions et dégradations volontaires,23,1,2717
1855,Destructions et dégradations volontaires,23,2,2066
1856,Destructions et dégradations volontaires,23,3,1495
1857,Destructions et dégradations volontaires,23,4,4975
1858,Destructions et dégradations volontaires,23,6,2514
1859,Destructions et dégradations volontaires,23,11,110630
1860,Destructions et dégradations volontaires,23,24,18167
1861,Destructions et dégradations volontaires,23,27,19771
1862,Destructions et dégradations volontaires,23,28,24831
1863,Destructions et dégradations volontaires,23,32,55400
1864,Destructions et dégradations volontaires,23,44,42962
1865,Destructions et dégradations volontaires,23,52,27206
1866,Destructions et dégradations volontaires,23,53,24228
1867,Destructions et dégradations volontaires,23,75,45464
1868,Destructions et dégradations volontaires,23,76,50295
1869,Destructions et dégradations volontaires,23,84,66041
1870,Destructions et dégradations volontaires,23,93,50220
1871,Destructions et dégradations volontaires,23,94,3155
